snailID,gw,gh,r0,h0,a0,c0,apAngle,shellLength,apex_x,apex_y,scaleFactor
056_EXP_ltr_H,0.0956206059049564,0.119066556209587,4.70771996528391,11.6963434708514,3.92019271541404,6.79968713548851,32.3994464867861,17.4844503338659,3353.52112676056,640.845070422536,148.368692695614
058_EXP_ltr_H,0.0978762897046888,0.135092587569233,5.50643558479632,14.0213471544723,4.70399710431421,8.04018958152784,35.5035350027294,20.7712965239976,3302.81690140845,404.225352112677,146.478873239437
059_EXP_ltr_H,0.0986725185077202,0.128127971648043,5.35070702956481,13.3780138787718,4.48154743519815,7.18105429384856,35.0827664234884,19.4661918516889,3389.93710691824,384.346610761706,147.263568414668
061_EXP_ltr_M,0.106580453198628,0.141695587830759,5.04015003666983,12.9804525492131,4.70492933926168,7.51571829142621,35.2064547717385,19.3245217499605,3409.85915492958,545.070422535212,150.281682807456
062_EXP_ltr_M,0.0952747925532942,0.135001521989588,4.05240627894629,12.6958124154203,4.34913069007314,6.79432317990182,42.3748768060274,18.112654287513,3257.74647887324,483.098591549297,148.65365203503
064_EXP_ltr_M,0.106722372363809,0.136382707237078,4.87737389635836,13.3916184448847,5.01285753322185,6.69991628265853,38.9467085078649,19.0983035781053,3297.18309859155,545.070422535212,150.42241798686
065_EXP_ltr_M,0.102266869524336,0.148067632820926,5.99489060085999,17.3576178215739,6.38144749062934,8.44355582443261,40.9932676958757,24.4891441495612,3161.97183098591,578.87323943662,119.03792669852
067_EXP_ltr_M,0.0936283441665166,0.140857633203049,4.89403400136765,13.0729284222712,4.49195993873096,6.8018941047625,41.9457343078743,18.689269039344,3438.02816901408,623.943661971832,137.397556611007
071_EXP_ltr_M,0.106184127566691,0.141179840223707,3.78750388550488,10.5471593528706,4.3518036630748,5.91915567445094,33.0134771131707,15.710965585182,3438.02816901408,1001.40845070423,134.439634396961
074_EXP_ltr_M,0.10615767382623,0.136392613040292,5.64524195008899,14.5506325602586,5.46119598144834,7.91605390841173,33.2798569820666,21.4141531364951,3342.25352112676,629.577464788733,132.111041028819
076_EXP_ltr_L,0.113322728010695,0.141497574391779,5.13863745708886,12.6694995222904,4.68000104318787,7.2717805946606,43.2051824121537,18.5190377495823,3212.67605633803,776.05633802817,130.012198540251
